Индекс,Тип региона,Регион,Город,Население
420500,Респ,Татарстан,Иннополис,0
301414,обл,Тульская,Чекалин,994
188909,обл,Ленинградская,Высоцк,1244
678530,Респ,Саха /Якутия/,Верхоянск,1311
238510,обл,Калининградская,Приморск,1956
694530,обл,Сахалинская,Курильск,2070
184640,обл,Мурманская,Островной,2177
662951,край,Красноярский,Артемовск,2180
606125,обл,Нижегородская,Горбатов,2278
155555,обл,Ивановская,Плес,2341
694550,обл,Сахалинская,Северо-Курильск,2381
636615,обл,Томская,Кедровый,2451
165330,обл,Архангельская,Сольвычегодск,2460
386001,Респ,Ингушетия,Магас,2505
157440,обл,Костромская,Кологрив,3314
238730,обл,Калининградская,Краснознаменск,3522
678790,Респ,Саха /Якутия/,Среднеколымск,3525
164750,обл,Архангельская,Мезень,3599
172530,обл,Тверская,Белый,3771
238460,обл,Калининградская,Ладушкин,3788
303500,обл,Орловская,Новосиль,3799
303370,обл,Орловская,Малоархангельск,3872
617040,край,Пермский,Чермоз,4017
249240,обл,Калужская,Мещовск,4101
689400,АО,Чукотский,Певек,4161
187050,обл,Ленинградская,Любань,4188
249930,обл,Калужская,Мосальск,4285
238400,обл,Калининградская,Правдинск,4323
216200,обл,Смоленская,Духовщина,4370
181600,обл,Псковская,Гдов,4379
694820,обл,Сахалинская,Томари,4537
671230,Респ,Бурятия,Бабушкин,4542
238010,обл,Калининградская,Нестеров,4584
238600,обл,Калининградская,Славск,4614
238120,обл,Калининградская,Озерск,4740
162107,обл,Вологодская,Кадников,4797
249610,обл,Калужская,Спас-Деменск,4904
618601,край,Пермский,Чердынь,4920
668510,Респ,Тыва,Туран,4988
157130,обл,Костромская,Чухлома,5209
143330,обл,Московская,Верея,5368
307100,обл,Курская,Фатеж,5404
689450,АО,Чукотский,Билибино,5504
243600,обл,Брянская,Злынка,5507
152470,обл,Ярославская,Любим,5553
249340,обл,Калужская,Жиздра,5585
171660,обл,Тверская,Красный Холм,5608
618460,край,Пермский,Усолье,5694
165160,обл,Архангельская,Шенкурск,5702
309210,обл,Белгородская,Короча,5877
391030,обл,Рязанская,Спас-Клепики,5917
152830,обл,Ярославская,Мышкин,5932
303240,обл,Орловская,Дмитровск,5956
307800,обл,Курская,Суджа,6036
412950,обл,Саратовская,Шиханы,6067
152850,обл,Ярославская,Пошехонье,6085
188910,обл,Ленинградская,Приморск,6122
663200,край,Красноярский,Игарка,6183
676470,обл,Амурская,Циолковский,6208
309370,обл,Белгородская,Грайворон,6234
238420,обл,Калининградская,Багратионовск,6399
155000,обл,Ивановская,Гаврилов Посад,6434
157170,обл,Костромская,Солигалич,6438
391550,обл,Рязанская,Шацк,6562
606340,обл,Нижегородская,Княгинино,6708
665160,обл,Иркутская,Алзамай,6751
613710,обл,Кировская,Мураши,6752
188950,обл,Ленинградская,Каменногорск,6761
694140,обл,Сахалинская,Макаров,6788
601570,обл,Владимирская,Курлово,6791
397400,обл,Воронежская,Новохоперск,6849
673500,край,Забайкальский,Сретенск,6850
172332,обл,Тверская,Зубцов,6937
612270,обл,Кировская,Орлов,6959
433380,обл,Ульяновская,Сенгилей,6959
162341,обл,Вологодская,Красавино,7003
442300,обл,Пензенская,Сурск,7032
249910,обл,Калужская,Юхнов,7056
157460,обл,Костромская,Макарьев,7114
431220,Респ,Мордовия,Темников,7247
242440,обл,Брянская,Севск,7282
171720,обл,Тверская,Весьегонск,7330
216240,обл,Смоленская,Демидов,7333
442600,обл,Пензенская,Спасск,7442
301205,обл,Тульская,Советск,7537
238630,обл,Калининградская,Полесск,7580
618100,край,Пермский,Оханск,7597
216290,обл,Смоленская,Велиж,7620
307500,обл,Курская,Дмитриев,7721
422610,Респ,Татарстан,Лаишево,7735
161100,обл,Вологодская,Кириллов,7735
391050,обл,Рязанская,Спасск-Рязанский,7745
238450,обл,Калининградская,Мамоново,7757
186730,Респ,Карелия,Лахденпохья,7818
309910,обл,Белгородская,Бирюч,7842
243220,обл,Брянская,Мглин,7916
678953,Респ,Саха /Якутия/,Томмот,8054
442310,обл,Пензенская,Городище,8102
215279,обл,Смоленская,Сычевка,8111
652770,обл,Кемеровская,Салаир,8263
172800,обл,Тверская,Андреаполь,8265
612920,обл,Кировская,Малмыж,8265
249950,обл,Калужская,Медынь,8298
641600,обл,Курганская,Макушино,8337
249160,обл,Калужская,Белоусово,8432
694030,обл,Сахалинская,Анива,8449
298676,Респ,Крым,Ялта,8497
161440,обл,Вологодская,Никольск,8515
442250,обл,Пензенская,Белинский,8567
155360,обл,Ивановская,Пучеж,8583
171360,обл,Тверская,Старица,8610
422840,Респ,Татарстан,Болгар,8650
431430,Респ,Мордовия,Инсар,8687
155150,обл,Ивановская,Комсомольск,8693
301264,обл,Тульская,Липки,8741
216450,обл,Смоленская,Починок,8776
624380,обл,Свердловская,Верхотурье,8815
187450,обл,Ленинградская,Новая Ладога,8890
606860,обл,Нижегородская,Ветлуга,8956
665050,обл,Иркутская,Бирюсинск,8981
668110,Респ,Тыва,Чадан,9037
186000,Респ,Карелия,Олонец,9060
182670,обл,Псковская,Дно,9061
369210,Респ,Карачаево-Черкесская,Теберда,9097
601110,обл,Владимирская,Костерево,9136
607400,обл,Нижегородская,Перевоз,9201
623080,обл,Свердловская,Михайловск,9215
403441,обл,Волгоградская,Серафимович,9368
172610,обл,Тверская,Западная Двина,9376
679100,Аобл,Еврейская,Облучье,9379
431860,Респ,Мордовия,Ардатов,9400
457670,обл,Челябинская,Верхнеуральск,9459
624320,обл,Свердловская,Верхняя Тура,9468
162840,обл,Вологодская,Устюжна,9478
297345,Респ,Крым,Старый Крым,9485
678100,Респ,Саха /Якутия/,Олекминск,9487
678000,Респ,Саха /Якутия/,Покровск,9495
613440,обл,Кировская,Нолинск,9556
676011,обл,Амурская,Сковородино,9561
359050,Респ,Калмыкия,Городовиковск,9565
161200,обл,Вологодская,Белозерск,9614
429060,Чувашия,Чувашская Республика,Ядрин,9614
301280,обл,Тульская,Болохово,9619
249100,обл,Калужская,Таруса,9656
186150,Респ,Карелия,Пудож,9698
186870,Респ,Карелия,Суоярви,9763
161300,обл,Вологодская,Тотьма,9784
188490,обл,Ленинградская,Ивангород,9797
157331,обл,Костромская,Нея,9827
606072,обл,Нижегородская,Володарск,9924
172110,обл,Тверская,Кувшиново,10008
624940,обл,Свердловская,Волчанск,10008
216790,обл,Смоленская,Рудня,10029
368890,Респ,Дагестан,Южно-Сухокумск,10048
162250,обл,Вологодская,Харовск,10078
216330,обл,Смоленская,Ельня,10095
164110,обл,Архангельская,Каргополь,10148
431260,Респ,Мордовия,Краснослободск,10151
678450,Респ,Саха /Якутия/,Нюрба,10156
429570,Чувашия,Чувашская Республика,Мариинский Посад,10186
456007,обл,Челябинская,Миньяр,10195
155450,обл,Ивановская,Юрьевец,10205
155830,обл,Ивановская,Наволоки,10207
613530,обл,Кировская,Уржум,10213
678200,Респ,Саха /Якутия/,Вилюйск,10233
175040,обл,Новгородская,Сольцы,10317
