Индекс,Тип региона,Регион,Город,Население
385200,Респ,Адыгея,Адыгейск,12689
385000,Респ,Адыгея,Майкоп,144055
649000,Респ,Алтай,Горно-Алтайск,62861
658125,край,Алтайский,Алейск,28528
656000,край,Алтайский,Барнаул,635585
659900,край,Алтайский,Белокуриха,15072
659300,край,Алтайский,Бийск,203826
658420,край,Алтайский,Горняк,13040
659100,край,Алтайский,Заринск,47035
658480,край,Алтайский,Змеиногорск,10569
658700,край,Алтайский,Камень-на-Оби,41787
658041,край,Алтайский,Новоалтайск,73134
658200,край,Алтайский,Рубцовск,146386
658820,край,Алтайский,Славгород,30370
658837,край,Алтайский,Яровое,18085
676805,обл,Амурская,Белогорск,68220
675000,обл,Амурская,Благовещенск,214397
676870,обл,Амурская,Завитинск,11481
676151,обл,Амурская,Зея,25042
676770,обл,Амурская,Райчихинск,20499
676450,обл,Амурская,Свободный,58594
676011,обл,Амурская,Сковородино,9561
676280,обл,Амурская,Тында,35574
676470,обл,Амурская,Циолковский,6208
676301,обл,Амурская,Шимановск,19815
163000,обл,Архангельская,Архангельск,348716
165150,обл,Архангельская,Вельск,23885
164110,обл,Архангельская,Каргополь,10148
165650,обл,Архангельская,Коряжма,39629
165300,обл,Архангельская,Котлас,60562
164750,обл,Архангельская,Мезень,3599
164170,обл,Архангельская,Мирный,30259
164900,обл,Архангельская,Новодвинск,40612
164200,обл,Архангельская,Няндома,22354
452450,Респ,Башкортостан,Бирск,41637
453430,Респ,Башкортостан,Благовещенск,34246
453400,Респ,Башкортостан,Давлеканово,24040
452320,Респ,Башкортостан,Дюртюли,31272
453200,Респ,Башкортостан,Ишимбай,66259
453100,Респ,Башкортостан,Стерлитамак,273432
452750,Респ,Башкортостан,Туймазы,66849
450000,Респ,Башкортостан,Уфа,1062300
453700,Респ,Башкортостан,Учалы,37771
452800,Респ,Башкортостан,Янаул,26988
309850,обл,Белгородская,Алексеевка,39026
308000,обл,Белгородская,Белгород,356426
